,narrative,drafting
180,finalizing factum re: refusals,0
181,reviewing memo re: refusals,0
182,drafting memo re: motion to strike,1
183,editing motion record re: injunction,1
184,writing memorandum re: summary judgment,1
185,reviewing compendium re: disqualifying expert,0
186,discussing analysis re: enforcing foreign judgment,0
187,writing order re: motion to strike,1
188,editing book of authority re: enforcing foreign judgment,1
189,drafting memo re: enforcing foreign judgment,1
190,researching order re: disqualifying expert,0
191,drafting analysis re: enforcing foreign judgment,1
192,researching analysis re: refusals,0
193,finalizing order re: motion to strike,0
194,attending to book of authority re: motion to strike,0
195,preparing notice of motion re: disqualifying expert,0
196,writing order re: refusals,1
197,attending to memo re: disqualifying expert,0
198,drafting motion record re: summary judgment,1
199,finalizing order re: disqualifying expert,0
200,finalizing analysis re: disqualifying expert,0
201,considering affidavit re: disqualifying expert,0
202,researching order re: disqualifying expert,0
203,preparing memo re: refusals,0
204,addressing memo re: refusals,0
205,proofing order re: injunction,0
206,drafting memorandum re: summary judgment,1
207,analyzing motion record re: disqualifying expert,0
208,editing memorandum re: enforcing foreign judgment,1
209,considering notice of motion re: injunction,0
210,reviewing factum re: refusals,0
211,researching memo re: motion to strike,0
212,editing notice of motion re: motion to strike,1
213,addressing factum re: refusals,0
214,revising memorandum re: summary judgment,1
215,drafting memo re: enforcing foreign judgment,1
216,drafting factum re: disqualifying expert,1
217,addressing analysis re: motion to strike,0
218,finalizing compendium re: refusals,0
219,preparing motion record re: injunction,0
220,researching compendium re: injunction,0
221,revising factum re: injunction,1
222,writing affidavit re: summary judgment,1
223,briefing affidavit re: injunction,1
224,reviewing memo re: refusals,0
225,discussing analysis re: enforcing foreign judgment,0
226,discussing memorandum re: summary judgment,0
227,editing memo re: motion to strike,1
228,researching affidavit re: injunction,0
229,proofing notice of motion re: refusals,0
230,briefing order re: enforcing foreign judgment,1
231,revising affidavit re: disqualifying expert,1
232,finalizing book of authority re: summary judgment,0
233,researching factum re: disqualifying expert,0
234,briefing compendium re: summary judgment,1
235,addressing compendium re: enforcing foreign judgment,0
236,reviewing analysis re: enforcing foreign judgment,0
237,briefing motion record re: refusals,1
238,considering memo re: motion to strike,0
239,finalizing compendium re: refusals,0
240,proofing analysis re: disqualifying expert,0
241,briefing order re: disqualifying expert,1
242,finalizing order re: summary judgment,0
243,researching notice of motion re: summary judgment,0
244,writing analysis re: injunction,1
245,discussing factum re: motion to strike,0
246,drafting affidavit re: motion to strike,1
247,preparing book of authority re: refusals,0
248,proofing affidavit re: injunction,0
249,addressing order re: injunction,0
250,writing order re: summary judgment,1
251,preparing book of authority re: refusals,0
252,finalizing memorandum re: refusals,0
253,briefing notice of motion re: injunction,1
254,revising memorandum re: summary judgment,1
255,researching order re: injunction,0
256,considering compendium re: disqualifying expert,0
257,addressing analysis re: motion to strike,0
258,preparing affidavit re: refusals,0
259,considering motion record re: motion to strike,0
260,revising compendium re: refusals,1
261,editing analysis re: injunction,1
262,analyzing affidavit re: enforcing foreign judgment,0
263,researching motion record re: motion to strike,0
264,briefing analysis re: disqualifying expert,1
265,attending to memorandum re: disqualifying expert,0
266,reviewing memo re: motion to strike,0
267,attending to compendium re: enforcing foreign judgment,0
268,researching affidavit re: disqualifying expert,0
269,addressing book of authority re: summary judgment,0
270,reviewing affidavit re: summary judgment,0
271,editing memo re: refusals,1
272,attending to memo re: injunction,0
273,analyzing affidavit re: motion to strike,0
274,proofing notice of motion re: motion to strike,0
275,preparing notice of motion re: refusals,0
276,proofing factum re: motion to strike,0
277,writing book of authority re: injunction,1
278,finalizing factum re: disqualifying expert,0
279,preparing compendium re: injunction,0
280,editing motion record re: injunction,1
281,drafting factum re: refusals,1
282,revising analysis re: refusals,1
283,analyzing affidavit re: refusals,0
284,finalizing book of authority re: summary judgment,0
285,attending to compendium re: injunction,0
286,discussing compendium re: disqualifying expert,0
287,discussing book of authority re: summary judgment,0
288,drafting memo re: injunction,1
289,considering factum re: enforcing foreign judgment,0
290,analyzing notice of motion re: enforcing foreign judgment,0
291,discussing affidavit re: injunction,0
292,writing memo re: refusals,1
293,discussing notice of motion re: enforcing foreign judgment,0
294,drafting book of authority re: disqualifying expert,1
295,reviewing motion record re: motion to strike,0
296,analyzing memo re: enforcing foreign judgment,0
297,briefing order re: summary judgment,1
298,discussing notice of motion re: motion to strike,0
299,reviewing analysis re: disqualifying expert,0
300,preparing memorandum re: enforcing foreign judgment,0
301,briefing memorandum re: motion to strike,1
302,preparing notice of motion re: summary judgment,0
303,editing affidavit re: disqualifying expert,1
304,writing memo re: injunction,1
305,briefing factum re: summary judgment,1
306,addressing order re: disqualifying expert,0
307,writing factum re: summary judgment,1
308,reviewing memo re: injunction,0
309,writing compendium re: summary judgment,1
310,considering compendium re: motion to strike,0
311,drafting analysis re: injunction,1
312,preparing memo re: refusals,0
313,writing book of authority re: refusals,1
314,preparing affidavit re: refusals,0
315,proofing memorandum re: refusals,0
316,considering notice of motion re: motion to strike,0
317,discussing compendium re: summary judgment,0
318,considering affidavit re: refusals,0
319,drafting memorandum re: disqualifying expert,1
320,finalizing compendium re: refusals,0
321,editing compendium re: enforcing foreign judgment,1
322,drafting order re: injunction,1
323,reviewing book of authority re: refusals,0
324,revising compendium re: disqualifying expert,1
325,revising notice of motion re: enforcing foreign judgment,1
326,preparing notice of motion re: motion to strike,0
327,reviewing analysis re: enforcing foreign judgment,0
328,drafting notice of motion re: disqualifying expert,1
329,considering book of authority re: injunction,0
330,researching memo re: enforcing foreign judgment,0
331,proofing compendium re: disqualifying expert,0
332,analyzing notice of motion re: motion to strike,0
333,analyzing memorandum re: injunction,0
334,revising factum re: refusals,1
335,preparing factum re: disqualifying expert,0
336,briefing factum re: enforcing foreign judgment,1
337,writing affidavit re: summary judgment,1
338,attending to book of authority re: summary judgment,0
339,attending to analysis re: enforcing foreign judgment,0
340,preparing motion record re: disqualifying expert,0
341,finalizing notice of motion re: motion to strike,0
342,editing motion record re: enforcing foreign judgment,1
343,drafting notice of motion re: injunction,1
344,considering motion record re: motion to strike,0
345,editing book of authority re: enforcing foreign judgment,1
346,addressing analysis re: disqualifying expert,0
347,researching book of authority re: refusals,0
348,drafting memorandum re: refusals,1
349,addressing order re: summary judgment,0
350,revising analysis re: enforcing foreign judgment,1
351,proofing compendium re: injunction,0
352,editing compendium re: refusals,1
353,considering motion record re: summary judgment,0
354,drafting analysis re: summary judgment,1
355,preparing notice of motion re: summary judgment,0
356,researching memorandum re: enforcing foreign judgment,0
357,discussing factum re: refusals,0
358,writing memo re: disqualifying expert,1
359,analyzing compendium re: disqualifying expert,0
360,discussing compendium re: summary judgment,0
361,editing book of authority re: summary judgment,1
362,preparing compendium re: enforcing foreign judgment,0
363,drafting memorandum re: refusals,1
364,revising book of authority re: summary judgment,1
365,discussing memo re: summary judgment,0
366,proofing notice of motion re: enforcing foreign judgment,0
367,discussing compendium re: injunction,0
368,writing notice of motion re: motion to strike,1
369,researching motion record re: disqualifying expert,0
370,considering factum re: refusals,0
371,writing analysis re: refusals,1
372,reviewing memorandum re: injunction,0
373,attending to analysis re: enforcing foreign judgment,0
374,discussing analysis re: injunction,0
375,proofing order re: refusals,0
376,preparing affidavit re: summary judgment,0
377,addressing analysis re: refusals,0
378,preparing compendium re: disqualifying expert,0
379,drafting affidavit re: enforcing foreign judgment,1
380,discussing order re: disqualifying expert,0
381,researching book of authority re: injunction,0
382,editing order re: summary judgment,1
383,editing memo re: injunction,1
384,finalizing affidavit re: enforcing foreign judgment,0
385,preparing motion record re: injunction,0
386,revising memorandum re: disqualifying expert,1
387,drafting notice of motion re: motion to strike,1
388,attending to factum re: motion to strike,0
389,considering book of authority re: disqualifying expert,0
390,discussing memo re: summary judgment,0
391,revising notice of motion re: motion to strike,1
392,drafting order re: injunction,1
393,discussing factum re: refusals,0
394,discussing affidavit re: injunction,0
395,researching compendium re: refusals,0
396,preparing analysis re: disqualifying expert,0
397,briefing factum re: injunction,1
398,preparing factum re: disqualifying expert,0
399,attending to motion record re: disqualifying expert,0
400,finalizing memorandum re: disqualifying expert,0
401,proofing motion record re: motion to strike,0
402,attending to order re: enforcing foreign judgment,0
403,proofing order re: enforcing foreign judgment,0
404,considering factum re: disqualifying expert,0
405,discussing notice of motion re: refusals,0
406,writing memorandum re: enforcing foreign judgment,1
407,attending to notice of motion re: motion to strike,0
408,drafting book of authority re: summary judgment,1
409,researching memo re: summary judgment,0
410,researching notice of motion re: summary judgment,0
411,writing memorandum re: enforcing foreign judgment,1
412,discussing analysis re: injunction,0
413,reviewing memorandum re: refusals,0
414,finalizing motion record re: refusals,0
415,reviewing compendium re: summary judgment,0
416,proofing memo re: refusals,0
417,briefing compendium re: refusals,1
418,editing affidavit re: refusals,1
419,addressing analysis re: enforcing foreign judgment,0
420,preparing factum re: injunction,0
421,writing notice of motion re: disqualifying expert,1
422,editing memorandum re: enforcing foreign judgment,1
423,discussing memorandum re: motion to strike,0
424,reviewing factum re: motion to strike,0
425,analyzing affidavit re: enforcing foreign judgment,0
426,revising factum re: enforcing foreign judgment,1
427,editing memo re: summary judgment,1
428,reviewing notice of motion re: disqualifying expert,0
429,preparing memorandum re: disqualifying expert,0
430,reviewing book of authority re: refusals,0
431,attending to order re: disqualifying expert,0
432,addressing notice of motion re: disqualifying expert,0
433,reviewing affidavit re: motion to strike,0
434,discussing memorandum re: motion to strike,0
435,writing affidavit re: summary judgment,1
436,drafting factum re: refusals,1
437,considering book of authority re: motion to strike,0
438,researching factum re: disqualifying expert,0
439,reviewing memo re: enforcing foreign judgment,0
440,analyzing affidavit re: enforcing foreign judgment,0
441,writing affidavit re: injunction,1
442,reviewing affidavit re: enforcing foreign judgment,0
443,preparing notice of motion re: motion to strike,0
444,addressing notice of motion re: enforcing foreign judgment,0
445,revising memo re: disqualifying expert,1
446,revising compendium re: injunction,1
447,researching order re: disqualifying expert,0
448,finalizing factum re: summary judgment,0
449,writing motion record re: refusals,1
450,proofing memo re: refusals,0
451,researching notice of motion re: summary judgment,0
452,revising memorandum re: injunction,1
453,editing motion record re: summary judgment,1
454,preparing memo re: disqualifying expert,0
455,addressing book of authority re: motion to strike,0
456,writing motion record re: injunction,1
457,drafting affidavit re: disqualifying expert,1
458,discussing analysis re: disqualifying expert,0
459,reviewing affidavit re: disqualifying expert,0
460,attending to notice of motion re: summary judgment,0
461,briefing memo re: summary judgment,1
462,analyzing memo re: refusals,0
463,discussing motion record re: injunction,0
464,briefing compendium re: motion to strike,1
465,finalizing affidavit re: motion to strike,0
466,analyzing notice of motion re: injunction,0
467,drafting memo re: enforcing foreign judgment,1
468,reviewing motion record re: injunction,0
469,addressing factum re: injunction,0
470,considering book of authority re: disqualifying expert,0
471,addressing affidavit re: motion to strike,0
472,preparing book of authority re: summary judgment,0
473,editing compendium re: enforcing foreign judgment,1
474,editing analysis re: injunction,1
475,briefing analysis re: disqualifying expert,1
476,writing compendium re: disqualifying expert,1
477,finalizing memo re: motion to strike,0
478,researching notice of motion re: motion to strike,0
479,considering book of authority re: enforcing foreign judgment,0
480,briefing notice of motion re: refusals,1
481,analyzing memorandum re: summary judgment,0
482,researching memo re: motion to strike,0
483,attending to factum re: injunction,0
484,addressing factum re: summary judgment,0
485,reviewing motion record re: disqualifying expert,0
486,reviewing memorandum re: enforcing foreign judgment,0
487,reviewing motion record re: refusals,0
488,drafting book of authority re: refusals,1
489,addressing factum re: injunction,0
490,discussing motion record re: enforcing foreign judgment,0
491,reviewing order re: enforcing foreign judgment,0
492,researching book of authority re: motion to strike,0
493,proofing motion record re: refusals,0
494,addressing affidavit re: motion to strike,0
495,writing factum re: disqualifying expert,1
496,revising order re: motion to strike,1
497,revising affidavit re: injunction,1
498,editing motion record re: injunction,1
499,drafting analysis re: refusals,1
500,briefing affidavit re: summary judgment,1
501,finalizing order re: injunction,0
502,revising motion record re: refusals,1
503,editing motion record re: enforcing foreign judgment,1
504,revising memorandum re: disqualifying expert,1
505,revising order re: injunction,1
506,writing analysis re: injunction,1
507,drafting motion record re: motion to strike,1
508,drafting analysis re: summary judgment,1
509,discussing compendium re: refusals,0
510,proofing memorandum re: injunction,0
511,writing factum re: injunction,1
512,reviewing analysis re: summary judgment,0
513,attending to notice of motion re: motion to strike,0
514,attending to book of authority re: motion to strike,0
515,attending to book of authority re: summary judgment,0
516,addressing memorandum re: refusals,0
517,addressing memorandum re: summary judgment,0
518,preparing analysis re: enforcing foreign judgment,0
519,considering factum re: disqualifying expert,0
520,writing memo re: enforcing foreign judgment,1
521,attending to motion record re: motion to strike,0
522,addressing order re: injunction,0
523,briefing notice of motion re: summary judgment,1
524,briefing notice of motion re: motion to strike,1
525,researching memo re: disqualifying expert,0
526,proofing factum re: enforcing foreign judgment,0
527,drafting factum re: disqualifying expert,1
528,attending to memo re: injunction,0
529,preparing compendium re: disqualifying expert,0
530,addressing notice of motion re: summary judgment,0
531,writing memo re: refusals,1
532,finalizing factum re: refusals,0
533,drafting analysis re: refusals,1
534,revising compendium re: refusals,1
535,discussing notice of motion re: refusals,0
536,considering compendium re: summary judgment,0
537,proofing affidavit re: summary judgment,0
538,preparing analysis re: injunction,0
539,drafting factum re: injunction,1
540,editing notice of motion re: enforcing foreign judgment,1
541,finalizing analysis re: injunction,0
542,writing book of authority re: motion to strike,1
543,writing book of authority re: motion to strike,1
544,researching motion record re: disqualifying expert,0
545,considering memorandum re: enforcing foreign judgment,0
546,analyzing notice of motion re: injunction,0
547,preparing memo re: enforcing foreign judgment,0
548,discussing analysis re: summary judgment,0
549,analyzing motion record re: motion to strike,0
550,considering factum re: refusals,0
551,drafting affidavit re: injunction,1
552,revising affidavit re: summary judgment,1
553,discussing order re: motion to strike,0
554,briefing notice of motion re: disqualifying expert,1
555,drafting analysis re: motion to strike,1
556,researching memorandum re: refusals,0
557,writing notice of motion re: disqualifying expert,1
558,discussing memo re: summary judgment,0
559,briefing memo re: refusals,1
560,proofing analysis re: disqualifying expert,0
561,researching notice of motion re: enforcing foreign judgment,0
562,considering factum re: injunction,0
563,drafting notice of motion re: motion to strike,1
564,revising notice of motion re: summary judgment,1
565,addressing factum re: motion to strike,0
566,reviewing notice of motion re: enforcing foreign judgment,0
567,reviewing analysis re: summary judgment,0
568,revising analysis re: injunction,1
569,analyzing analysis re: motion to strike,0
570,drafting compendium re: disqualifying expert,1
571,drafting book of authority re: refusals,1
572,finalizing order re: motion to strike,0
573,researching notice of motion re: injunction,0
574,editing notice of motion re: refusals,1
575,briefing analysis re: motion to strike,1
576,reviewing compendium re: enforcing foreign judgment,0
577,proofing notice of motion re: refusals,0
578,preparing book of authority re: disqualifying expert,0
579,analyzing notice of motion re: injunction,0
580,editing memorandum re: summary judgment,1
581,revising compendium re: enforcing foreign judgment,1
582,attending to motion record re: refusals,0
583,briefing order re: injunction,1
584,finalizing order re: refusals,0
585,researching memo re: refusals,0
586,discussing analysis re: refusals,0
587,writing factum re: enforcing foreign judgment,1
588,attending to factum re: injunction,0
589,reviewing compendium re: motion to strike,0
590,writing notice of motion re: enforcing foreign judgment,1
591,researching motion record re: refusals,0
592,researching compendium re: injunction,0
593,writing compendium re: enforcing foreign judgment,1
594,editing compendium re: refusals,1
595,writing factum re: summary judgment,1
596,addressing motion record re: summary judgment,0
597,analyzing book of authority re: enforcing foreign judgment,0
598,editing analysis re: summary judgment,1
599,finalizing order re: enforcing foreign judgment,0
600,preparing analysis re: summary judgment,0
601,researching analysis re: motion to strike,0
602,editing memo re: summary judgment,1
603,discussing memorandum re: injunction,0
604,preparing factum re: refusals,0
605,preparing memo re: disqualifying expert,0
606,attending to notice of motion re: injunction,0
607,attending to memorandum re: summary judgment,0
608,revising factum re: summary judgment,1
609,writing affidavit re: enforcing foreign judgment,1
610,considering memo re: summary judgment,0
611,finalizing order re: disqualifying expert,0
612,briefing memo re: injunction,1
613,proofing book of authority re: refusals,0
614,reviewing book of authority re: summary judgment,0
615,finalizing compendium re: enforcing foreign judgment,0
616,attending to memo re: disqualifying expert,0
617,researching memo re: disqualifying expert,0
618,attending to book of authority re: motion to strike,0
619,addressing factum re: motion to strike,0
620,drafting memorandum re: injunction,1
621,addressing order re: enforcing foreign judgment,0
622,attending to motion record re: injunction,0
623,considering memo re: disqualifying expert,0
624,proofing memorandum re: refusals,0
625,analyzing factum re: refusals,0
626,drafting analysis re: enforcing foreign judgment,1
627,attending to motion record re: refusals,0
628,writing book of authority re: refusals,1
629,analyzing order re: motion to strike,0
630,discussing notice of motion re: refusals,0
631,attending to memo re: refusals,0
632,attending to book of authority re: enforcing foreign judgment,0
633,preparing compendium re: refusals,0
634,drafting factum re: motion to strike,1
635,attending to book of authority re: summary judgment,0
636,analyzing memo re: enforcing foreign judgment,0
637,proofing book of authority re: summary judgment,0
638,revising factum re: motion to strike,1
639,reviewing notice of motion re: enforcing foreign judgment,0
640,analyzing factum re: injunction,0
641,briefing analysis re: disqualifying expert,1
642,researching affidavit re: summary judgment,0
643,preparing factum re: enforcing foreign judgment,0
644,proofing order re: motion to strike,0
645,analyzing order re: summary judgment,0
646,considering book of authority re: disqualifying expert,0
647,briefing memo re: summary judgment,1
648,analyzing notice of motion re: summary judgment,0
649,drafting motion record re: summary judgment,1
650,finalizing affidavit re: disqualifying expert,0
651,reviewing motion record re: refusals,0
652,proofing notice of motion re: injunction,0
653,attending to memorandum re: injunction,0
654,briefing motion record re: refusals,1
655,preparing book of authority re: injunction,0
656,briefing notice of motion re: enforcing foreign judgment,1
657,preparing factum re: motion to strike,0
658,addressing analysis re: injunction,0
659,reviewing order re: disqualifying expert,0
660,briefing affidavit re: motion to strike,1
661,attending to analysis re: disqualifying expert,0
662,preparing factum re: motion to strike,0
663,finalizing memo re: injunction,0
664,considering notice of motion re: refusals,0
665,researching compendium re: enforcing foreign judgment,0
666,addressing compendium re: motion to strike,0
667,writing notice of motion re: motion to strike,1
668,writing order re: summary judgment,1
669,preparing motion record re: summary judgment,0
670,proofing book of authority re: injunction,0
671,considering motion record re: injunction,0
672,editing notice of motion re: refusals,1
673,writing memorandum re: refusals,1
674,briefing memo re: summary judgment,1
675,considering notice of motion re: enforcing foreign judgment,0
676,addressing book of authority re: enforcing foreign judgment,0
677,proofing motion record re: summary judgment,0
678,discussing motion record re: disqualifying expert,0
679,writing book of authority re: disqualifying expert,1
680,considering notice of motion re: injunction,0
681,writing memo re: summary judgment,1
682,briefing analysis re: disqualifying expert,1
683,attending to compendium re: injunction,0
684,preparing analysis re: refusals,0
685,revising motion record re: enforcing foreign judgment,1
686,editing affidavit re: disqualifying expert,1
687,analyzing notice of motion re: motion to strike,0
688,researching order re: refusals,0
689,drafting book of authority re: summary judgment,1
690,attending to factum re: injunction,0
691,preparing factum re: summary judgment,0
692,discussing compendium re: disqualifying expert,0
693,editing factum re: refusals,1
694,briefing order re: disqualifying expert,1
695,proofing notice of motion re: disqualifying expert,0
696,revising memo re: refusals,1
697,reviewing affidavit re: enforcing foreign judgment,0
698,discussing affidavit re: refusals,0
699,editing affidavit re: enforcing foreign judgment,1
700,reviewing order re: disqualifying expert,0
701,revising memo re: summary judgment,1
702,considering analysis re: motion to strike,0
703,preparing memorandum re: motion to strike,0
704,writing factum re: refusals,1
705,preparing order re: injunction,0
706,discussing order re: enforcing foreign judgment,0
707,proofing notice of motion re: summary judgment,0
708,researching notice of motion re: summary judgment,0
709,writing memo re: summary judgment,1
710,reviewing analysis re: injunction,0
711,discussing memorandum re: summary judgment,0
712,drafting order re: injunction,1
713,briefing book of authority re: injunction,1
714,addressing notice of motion re: refusals,0
715,editing memorandum re: disqualifying expert,1
716,finalizing memo re: disqualifying expert,0
717,preparing compendium re: summary judgment,0
718,discussing analysis re: disqualifying expert,0
719,revising notice of motion re: disqualifying expert,1
720,briefing memorandum re: injunction,1
721,drafting book of authority re: refusals,1
722,researching factum re: refusals,0
723,writing analysis re: motion to strike,1
724,attending to memorandum re: disqualifying expert,0
725,briefing memorandum re: disqualifying expert,1
726,editing compendium re: disqualifying expert,1
727,drafting order re: disqualifying expert,1
728,writing motion record re: refusals,1
729,finalizing order re: injunction,0
730,revising factum re: disqualifying expert,1
731,attending to notice of motion re: enforcing foreign judgment,0
732,writing notice of motion re: refusals,1
733,editing affidavit re: refusals,1
734,considering memorandum re: disqualifying expert,0
735,preparing order re: disqualifying expert,0
736,writing memo re: injunction,1
737,drafting book of authority re: motion to strike,1
738,editing analysis re: refusals,1
739,addressing memo re: disqualifying expert,0
740,discussing book of authority re: refusals,0
741,writing notice of motion re: motion to strike,1
742,proofing memo re: enforcing foreign judgment,0
743,finalizing memo re: disqualifying expert,0
744,discussing motion record re: refusals,0
745,researching compendium re: motion to strike,0
746,reviewing order re: disqualifying expert,0
747,attending to motion record re: disqualifying expert,0
748,writing book of authority re: summary judgment,1
749,attending to memorandum re: injunction,0
750,researching affidavit re: enforcing foreign judgment,0
751,editing factum re: refusals,1
752,proofing memorandum re: injunction,0
753,reviewing order re: motion to strike,0
754,writing memo re: summary judgment,1
755,analyzing order re: refusals,0
756,considering memorandum re: refusals,0
757,analyzing motion record re: enforcing foreign judgment,0
758,finalizing affidavit re: summary judgment,0
759,revising motion record re: disqualifying expert,1
760,editing notice of motion re: enforcing foreign judgment,1
761,editing analysis re: disqualifying expert,1
762,finalizing factum re: refusals,0
763,writing factum re: motion to strike,1
764,revising affidavit re: refusals,1
765,analyzing motion record re: enforcing foreign judgment,0
