,narrative
70,editing notice of motion re: injunction
71,drafting analysis re: injunction
72,reviewing affidavit re: injunction
73,preparing memo re: disqualifying expert
74,revising affidavit re: enforcing foreign judgment
75,analyzing analysis re: injunction
76,writing compendium re: disqualifying expert
77,briefing affidavit re: injunction
78,briefing affidavit re: injunction
79,briefing book of authority re: summary judgment
80,reviewing book of authority re: motion to strike
81,drafting compendium re: summary judgment
82,preparing notice of motion re: refusals
83,preparing memo re: enforcing foreign judgment
84,analyzing affidavit re: summary judgment
85,analyzing notice of motion re: disqualifying expert
86,preparing memo re: enforcing foreign judgment
87,editing book of authority re: motion to strike
88,drafting factum re: injunction
89,analyzing order re: motion to strike
90,researching notice of motion re: motion to strike
91,briefing memorandum re: disqualifying expert
92,drafting analysis re: motion to strike
93,proofing memo re: summary judgment
94,researching memorandum re: injunction
95,preparing book of authority re: summary judgment
96,reviewing analysis re: motion to strike
97,drafting affidavit re: enforcing foreign judgment
98,writing affidavit re: summary judgment
99,researching factum re: motion to strike
100,briefing motion record re: injunction
101,preparing motion record re: motion to strike
102,proofing memorandum re: injunction
103,preparing memo re: summary judgment
104,reviewing factum re: injunction
105,revising compendium re: motion to strike
106,drafting book of authority re: refusals
107,analyzing order re: enforcing foreign judgment
108,drafting motion record re: disqualifying expert
109,preparing affidavit re: summary judgment
110,drafting book of authority re: summary judgment
111,researching memo re: summary judgment
112,briefing memo re: enforcing foreign judgment
113,revising motion record re: injunction
114,analyzing notice of motion re: motion to strike
115,proofing order re: disqualifying expert
116,briefing book of authority re: disqualifying expert
117,preparing motion record re: enforcing foreign judgment
118,researching factum re: disqualifying expert
119,proofing motion record re: enforcing foreign judgment
120,revising compendium re: summary judgment
121,briefing memo re: motion to strike
122,reviewing order re: disqualifying expert
123,revising affidavit re: summary judgment
124,editing memorandum re: disqualifying expert
125,writing book of authority re: refusals
126,analyzing order re: enforcing foreign judgment
127,briefing factum re: disqualifying expert
128,preparing analysis re: refusals
129,drafting book of authority re: injunction
130,analyzing memo re: enforcing foreign judgment
131,preparing notice of motion re: enforcing foreign judgment
132,revising motion record re: disqualifying expert
133,drafting memorandum re: enforcing foreign judgment
134,writing order re: motion to strike
135,drafting book of authority re: refusals
136,analyzing book of authority re: motion to strike
137,revising compendium re: summary judgment
138,writing analysis re: refusals
139,writing memo re: enforcing foreign judgment
140,proofing affidavit re: motion to strike
141,proofing order re: refusals
142,researching book of authority re: motion to strike
143,briefing compendium re: motion to strike
144,briefing factum re: disqualifying expert
145,writing order re: refusals
146,editing factum re: motion to strike
147,proofing motion record re: injunction
148,revising analysis re: disqualifying expert
149,briefing analysis re: refusals
150,researching order re: disqualifying expert
151,researching memo re: injunction
152,preparing memo re: disqualifying expert
153,analyzing compendium re: motion to strike
154,writing order re: enforcing foreign judgment
155,revising order re: motion to strike
156,drafting memo re: enforcing foreign judgment
157,proofing affidavit re: injunction
158,drafting motion record re: motion to strike
159,editing memorandum re: refusals
160,analyzing notice of motion re: disqualifying expert
161,writing memorandum re: disqualifying expert
162,proofing motion record re: summary judgment
163,preparing factum re: injunction
164,editing affidavit re: refusals
165,writing book of authority re: injunction
166,revising memo re: summary judgment
167,editing memo re: motion to strike
168,drafting motion record re: refusals
169,editing analysis re: refusals
170,proofing compendium re: motion to strike
171,editing order re: motion to strike
172,reviewing affidavit re: summary judgment
173,briefing factum re: disqualifying expert
174,briefing memorandum re: injunction
175,preparing book of authority re: enforcing foreign judgment
176,drafting order re: refusals
177,researching notice of motion re: injunction
178,proofing order re: summary judgment
179,editing notice of motion re: injunction
180,proofing book of authority re: summary judgment
181,revising compendium re: motion to strike
182,proofing memo re: injunction
183,revising compendium re: summary judgment
184,reviewing affidavit re: summary judgment
185,revising book of authority re: motion to strike
186,preparing book of authority re: motion to strike
187,drafting notice of motion re: enforcing foreign judgment
188,preparing compendium re: motion to strike
189,revising notice of motion re: enforcing foreign judgment
190,preparing factum re: injunction
191,researching motion record re: refusals
192,drafting analysis re: disqualifying expert
193,reviewing affidavit re: motion to strike
194,preparing notice of motion re: injunction
195,drafting order re: disqualifying expert
196,revising factum re: refusals
197,editing memo re: summary judgment
198,editing factum re: disqualifying expert
199,revising affidavit re: summary judgment
200,proofing memo re: summary judgment
201,briefing memo re: refusals
202,editing compendium re: refusals
203,editing memo re: refusals
204,briefing notice of motion re: enforcing foreign judgment
205,writing notice of motion re: refusals
206,editing analysis re: summary judgment
207,reviewing order re: motion to strike
208,proofing motion record re: summary judgment
209,writing order re: enforcing foreign judgment
210,writing analysis re: summary judgment
211,reviewing book of authority re: injunction
212,proofing factum re: summary judgment
213,researching notice of motion re: enforcing foreign judgment
214,editing motion record re: refusals
215,preparing compendium re: disqualifying expert
216,editing compendium re: motion to strike
217,analyzing motion record re: motion to strike
218,proofing compendium re: disqualifying expert
219,writing affidavit re: summary judgment
220,editing order re: refusals
221,drafting memorandum re: injunction
222,drafting memo re: enforcing foreign judgment
223,briefing notice of motion re: summary judgment
224,briefing factum re: injunction
225,writing book of authority re: summary judgment
226,briefing motion record re: disqualifying expert
227,revising notice of motion re: disqualifying expert
228,researching book of authority re: summary judgment
229,analyzing analysis re: disqualifying expert
230,revising memorandum re: motion to strike
231,briefing book of authority re: enforcing foreign judgment
232,proofing compendium re: summary judgment
233,proofing notice of motion re: enforcing foreign judgment
234,reviewing notice of motion re: refusals
235,reviewing affidavit re: refusals
236,editing order re: motion to strike
237,drafting factum re: summary judgment
238,proofing notice of motion re: summary judgment
239,reviewing book of authority re: summary judgment
240,editing memorandum re: refusals
241,editing notice of motion re: enforcing foreign judgment
242,writing order re: refusals
243,editing factum re: motion to strike
244,revising order re: motion to strike
245,analyzing book of authority re: motion to strike
246,briefing compendium re: enforcing foreign judgment
247,reviewing order re: refusals
248,drafting memo re: disqualifying expert
249,preparing notice of motion re: injunction
250,briefing affidavit re: motion to strike
251,reviewing analysis re: injunction
252,researching book of authority re: summary judgment
253,editing affidavit re: refusals
254,writing affidavit re: disqualifying expert
255,drafting affidavit re: motion to strike
256,writing order re: injunction
257,researching affidavit re: enforcing foreign judgment
258,briefing analysis re: refusals
259,preparing factum re: summary judgment
260,revising affidavit re: motion to strike
261,proofing factum re: motion to strike
262,reviewing memo re: injunction
263,drafting memo re: enforcing foreign judgment
264,researching compendium re: summary judgment
265,briefing memo re: summary judgment
266,briefing compendium re: summary judgment
267,analyzing motion record re: injunction
268,preparing notice of motion re: disqualifying expert
269,revising factum re: disqualifying expert
270,editing memorandum re: disqualifying expert
271,proofing motion record re: injunction
272,preparing analysis re: disqualifying expert
273,revising affidavit re: disqualifying expert
274,preparing memorandum re: enforcing foreign judgment
275,researching compendium re: summary judgment
276,reviewing memorandum re: motion to strike
277,briefing book of authority re: enforcing foreign judgment
278,researching motion record re: enforcing foreign judgment
279,analyzing factum re: motion to strike
280,reviewing analysis re: refusals
281,editing factum re: enforcing foreign judgment
282,drafting factum re: refusals
283,revising analysis re: motion to strike
284,preparing compendium re: summary judgment
285,briefing factum re: enforcing foreign judgment
286,preparing motion record re: refusals
287,revising order re: enforcing foreign judgment
288,proofing order re: injunction
289,briefing memo re: injunction
290,preparing order re: enforcing foreign judgment
291,preparing analysis re: summary judgment
292,editing notice of motion re: motion to strike
293,revising book of authority re: injunction
294,briefing compendium re: refusals
295,researching memo re: disqualifying expert
296,writing order re: enforcing foreign judgment
297,drafting order re: injunction
298,analyzing analysis re: enforcing foreign judgment
299,editing motion record re: injunction
300,briefing book of authority re: refusals
301,preparing memo re: enforcing foreign judgment
302,revising motion record re: summary judgment
303,drafting affidavit re: injunction
304,writing book of authority re: enforcing foreign judgment
305,reviewing compendium re: injunction
306,proofing notice of motion re: summary judgment
307,writing memorandum re: summary judgment
308,drafting compendium re: motion to strike
309,proofing analysis re: injunction
310,editing factum re: disqualifying expert
311,drafting affidavit re: enforcing foreign judgment
312,preparing memo re: motion to strike
313,researching book of authority re: disqualifying expert
314,analyzing notice of motion re: enforcing foreign judgment
315,writing book of authority re: injunction
316,reviewing compendium re: disqualifying expert
317,researching motion record re: disqualifying expert
318,drafting memorandum re: motion to strike
319,analyzing memo re: summary judgment
320,editing analysis re: motion to strike
321,editing notice of motion re: injunction
322,reviewing analysis re: summary judgment
323,drafting factum re: refusals
324,revising analysis re: refusals
325,briefing analysis re: disqualifying expert
326,researching notice of motion re: enforcing foreign judgment
327,drafting affidavit re: summary judgment
328,analyzing notice of motion re: disqualifying expert
329,researching notice of motion re: refusals
330,preparing memo re: disqualifying expert
331,researching memorandum re: refusals
332,researching analysis re: enforcing foreign judgment
333,preparing book of authority re: motion to strike
334,revising book of authority re: disqualifying expert
335,drafting motion record re: motion to strike
336,analyzing analysis re: motion to strike
337,writing book of authority re: injunction
338,analyzing order re: motion to strike
339,revising book of authority re: refusals
340,reviewing order re: refusals
341,preparing book of authority re: enforcing foreign judgment
342,briefing order re: summary judgment
343,editing notice of motion re: disqualifying expert
344,drafting motion record re: refusals
345,drafting motion record re: refusals
346,writing memorandum re: motion to strike
347,reviewing factum re: disqualifying expert
348,researching compendium re: enforcing foreign judgment
349,researching order re: enforcing foreign judgment
350,reviewing order re: injunction
351,briefing factum re: disqualifying expert
352,researching analysis re: refusals
353,analyzing motion record re: refusals
354,briefing book of authority re: enforcing foreign judgment
355,drafting book of authority re: injunction
356,researching analysis re: motion to strike
357,drafting compendium re: motion to strike
358,researching book of authority re: enforcing foreign judgment
359,analyzing memo re: disqualifying expert
360,revising notice of motion re: injunction
361,briefing factum re: refusals
362,drafting compendium re: disqualifying expert
363,reviewing memo re: refusals
364,revising order re: disqualifying expert
365,editing notice of motion re: summary judgment
366,drafting motion record re: motion to strike
367,analyzing factum re: injunction
368,proofing memo re: disqualifying expert
369,drafting analysis re: enforcing foreign judgment
370,editing memorandum re: summary judgment
371,writing order re: summary judgment
372,reviewing memorandum re: enforcing foreign judgment
373,writing motion record re: disqualifying expert
374,researching order re: refusals
375,revising notice of motion re: motion to strike
376,analyzing book of authority re: summary judgment
377,proofing memo re: injunction
378,writing factum re: refusals
379,proofing book of authority re: summary judgment
380,drafting order re: motion to strike
381,briefing factum re: disqualifying expert
382,briefing book of authority re: motion to strike
383,editing analysis re: motion to strike
384,writing affidavit re: summary judgment
385,analyzing analysis re: injunction
386,briefing compendium re: injunction
387,briefing affidavit re: motion to strike
388,drafting factum re: summary judgment
389,proofing book of authority re: disqualifying expert
390,preparing book of authority re: disqualifying expert
391,writing affidavit re: injunction
392,analyzing factum re: motion to strike
393,writing analysis re: motion to strike
394,briefing memorandum re: enforcing foreign judgment
395,analyzing motion record re: injunction
396,editing order re: summary judgment
397,proofing book of authority re: refusals
398,briefing book of authority re: disqualifying expert
399,researching order re: disqualifying expert
400,preparing book of authority re: enforcing foreign judgment
401,researching memorandum re: summary judgment
402,researching compendium re: disqualifying expert
403,editing affidavit re: summary judgment
404,researching book of authority re: disqualifying expert
405,proofing order re: refusals
406,writing memo re: refusals
407,preparing affidavit re: disqualifying expert
408,researching compendium re: enforcing foreign judgment
409,briefing memo re: refusals
410,drafting notice of motion re: summary judgment
411,analyzing notice of motion re: disqualifying expert
412,reviewing memorandum re: injunction
413,proofing affidavit re: summary judgment
414,analyzing compendium re: refusals
415,researching order re: summary judgment
416,analyzing compendium re: enforcing foreign judgment
417,reviewing notice of motion re: refusals
418,writing motion record re: summary judgment
419,proofing memo re: disqualifying expert
420,briefing motion record re: motion to strike
421,analyzing affidavit re: injunction
422,analyzing affidavit re: enforcing foreign judgment
423,briefing book of authority re: motion to strike
424,analyzing analysis re: injunction
425,analyzing book of authority re: summary judgment
426,preparing factum re: motion to strike
427,researching analysis re: enforcing foreign judgment
428,reviewing motion record re: enforcing foreign judgment
429,briefing order re: disqualifying expert
430,briefing order re: refusals
431,revising book of authority re: summary judgment
432,reviewing memo re: refusals
433,editing book of authority re: disqualifying expert
434,briefing memo re: summary judgment
435,researching memorandum re: motion to strike
436,proofing memorandum re: refusals
437,preparing compendium re: refusals
438,drafting motion record re: summary judgment
439,editing order re: motion to strike
440,briefing notice of motion re: summary judgment
441,analyzing compendium re: summary judgment
442,analyzing book of authority re: motion to strike
443,editing order re: motion to strike
444,briefing analysis re: enforcing foreign judgment
445,editing memorandum re: motion to strike
446,briefing order re: refusals
447,briefing order re: refusals
448,revising affidavit re: injunction
449,preparing compendium re: enforcing foreign judgment
450,proofing memorandum re: motion to strike
451,reviewing memorandum re: refusals
452,writing book of authority re: enforcing foreign judgment
453,preparing memo re: motion to strike
454,researching notice of motion re: disqualifying expert
455,revising memo re: enforcing foreign judgment
456,preparing motion record re: summary judgment
457,analyzing motion record re: refusals
458,analyzing order re: refusals
459,preparing motion record re: summary judgment
460,editing analysis re: summary judgment
461,researching analysis re: refusals
462,researching book of authority re: enforcing foreign judgment
463,briefing notice of motion re: enforcing foreign judgment
464,researching compendium re: disqualifying expert
465,reviewing book of authority re: motion to strike
466,revising book of authority re: disqualifying expert
467,briefing memorandum re: enforcing foreign judgment
468,revising book of authority re: disqualifying expert
469,analyzing factum re: enforcing foreign judgment
470,revising order re: summary judgment
471,preparing notice of motion re: enforcing foreign judgment
472,editing memo re: injunction
473,preparing notice of motion re: refusals
474,proofing memorandum re: enforcing foreign judgment
475,drafting compendium re: refusals
476,proofing analysis re: refusals
477,preparing order re: disqualifying expert
478,preparing compendium re: refusals
479,proofing memo re: summary judgment
480,editing memorandum re: summary judgment
481,researching notice of motion re: summary judgment
482,briefing affidavit re: disqualifying expert
483,drafting factum re: refusals
484,proofing factum re: disqualifying expert
485,drafting memo re: injunction
486,briefing memo re: motion to strike
487,editing compendium re: summary judgment
488,analyzing compendium re: enforcing foreign judgment
489,editing motion record re: summary judgment
490,revising compendium re: enforcing foreign judgment
491,analyzing motion record re: enforcing foreign judgment
492,analyzing affidavit re: summary judgment
493,researching order re: enforcing foreign judgment
494,reviewing affidavit re: refusals
495,briefing memo re: disqualifying expert
496,researching book of authority re: enforcing foreign judgment
497,reviewing book of authority re: summary judgment
498,preparing motion record re: injunction
499,reviewing motion record re: disqualifying expert
500,reviewing book of authority re: disqualifying expert
501,writing compendium re: motion to strike
502,writing memo re: enforcing foreign judgment
503,reviewing book of authority re: injunction
504,writing motion record re: motion to strike
505,briefing factum re: motion to strike
506,drafting notice of motion re: disqualifying expert
507,proofing order re: disqualifying expert
508,proofing motion record re: refusals
509,analyzing notice of motion re: enforcing foreign judgment
510,reviewing motion record re: summary judgment
511,proofing affidavit re: enforcing foreign judgment
512,editing affidavit re: summary judgment
513,revising compendium re: refusals
514,writing analysis re: summary judgment
515,reviewing analysis re: summary judgment
516,revising memo re: motion to strike
517,proofing motion record re: injunction
518,briefing affidavit re: enforcing foreign judgment
519,drafting memo re: injunction
520,analyzing notice of motion re: enforcing foreign judgment
521,reviewing motion record re: disqualifying expert
522,reviewing compendium re: summary judgment
523,briefing factum re: disqualifying expert
524,editing factum re: refusals
525,reviewing analysis re: summary judgment
526,writing factum re: enforcing foreign judgment
527,analyzing memo re: refusals
528,preparing memo re: refusals
529,reviewing motion record re: summary judgment
530,briefing affidavit re: summary judgment
531,proofing memorandum re: motion to strike
532,revising analysis re: injunction
533,proofing memorandum re: motion to strike
534,writing analysis re: disqualifying expert
535,writing affidavit re: disqualifying expert
536,analyzing notice of motion re: enforcing foreign judgment
537,analyzing order re: summary judgment
538,proofing analysis re: motion to strike
539,briefing compendium re: injunction
540,reviewing memorandum re: injunction
541,briefing affidavit re: motion to strike
542,proofing memo re: motion to strike
543,drafting factum re: enforcing foreign judgment
544,revising book of authority re: motion to strike
545,analyzing book of authority re: disqualifying expert
546,revising analysis re: motion to strike
547,drafting compendium re: disqualifying expert
548,briefing affidavit re: injunction
549,drafting order re: refusals
550,briefing affidavit re: summary judgment
551,briefing order re: motion to strike
552,revising book of authority re: enforcing foreign judgment
553,briefing motion record re: refusals
554,revising book of authority re: injunction
555,briefing analysis re: motion to strike
556,revising factum re: motion to strike
557,writing affidavit re: refusals
558,briefing compendium re: injunction
559,writing order re: motion to strike
560,reviewing compendium re: injunction
561,preparing book of authority re: injunction
562,analyzing affidavit re: refusals
563,drafting motion record re: summary judgment
564,editing factum re: enforcing foreign judgment
565,analyzing memorandum re: injunction
566,revising memo re: injunction
567,preparing affidavit re: motion to strike
568,drafting analysis re: summary judgment
569,writing motion record re: disqualifying expert
570,briefing factum re: injunction
571,preparing memo re: motion to strike
572,researching memo re: refusals
573,reviewing notice of motion re: injunction
574,drafting factum re: injunction
575,proofing motion record re: disqualifying expert
576,analyzing factum re: motion to strike
577,revising analysis re: summary judgment
578,proofing motion record re: enforcing foreign judgment
579,preparing order re: injunction
580,writing memorandum re: enforcing foreign judgment
581,researching affidavit re: disqualifying expert
582,briefing memo re: motion to strike
583,drafting memorandum re: refusals
584,researching notice of motion re: motion to strike
585,reviewing memorandum re: refusals
586,reviewing notice of motion re: injunction
587,writing memorandum re: motion to strike
588,researching affidavit re: motion to strike
589,reviewing analysis re: injunction
590,editing notice of motion re: motion to strike
591,drafting motion record re: summary judgment
592,researching memorandum re: motion to strike
593,editing order re: motion to strike
594,reviewing memorandum re: disqualifying expert
595,editing motion record re: enforcing foreign judgment
596,editing affidavit re: injunction
597,briefing book of authority re: injunction
598,analyzing factum re: injunction
599,reviewing analysis re: disqualifying expert
600,analyzing compendium re: disqualifying expert
601,preparing memo re: refusals
602,editing book of authority re: disqualifying expert
603,preparing notice of motion re: motion to strike
604,reviewing notice of motion re: refusals
605,analyzing book of authority re: refusals
606,preparing analysis re: motion to strike
607,drafting order re: disqualifying expert
608,revising order re: refusals
609,analyzing analysis re: refusals
610,proofing book of authority re: summary judgment
611,writing motion record re: motion to strike
612,writing memorandum re: motion to strike
613,drafting affidavit re: disqualifying expert
614,revising affidavit re: refusals
615,writing order re: enforcing foreign judgment
616,reviewing memorandum re: injunction
617,reviewing affidavit re: motion to strike
618,reviewing book of authority re: refusals
619,preparing affidavit re: refusals
620,revising notice of motion re: enforcing foreign judgment
621,proofing analysis re: enforcing foreign judgment
622,proofing factum re: disqualifying expert
623,analyzing factum re: refusals
624,reviewing memo re: summary judgment
625,editing factum re: injunction
626,briefing notice of motion re: summary judgment
627,drafting book of authority re: injunction
628,reviewing book of authority re: enforcing foreign judgment
629,revising factum re: injunction
630,proofing order re: enforcing foreign judgment
631,researching notice of motion re: refusals
632,briefing affidavit re: motion to strike
633,reviewing analysis re: enforcing foreign judgment
634,proofing book of authority re: enforcing foreign judgment
635,revising factum re: disqualifying expert
636,drafting analysis re: refusals
637,researching analysis re: summary judgment
638,revising factum re: refusals
639,researching book of authority re: refusals
640,proofing factum re: injunction
641,revising notice of motion re: motion to strike
642,researching analysis re: disqualifying expert
643,drafting compendium re: refusals
644,briefing book of authority re: disqualifying expert
645,briefing memorandum re: injunction
646,revising affidavit re: disqualifying expert
647,revising analysis re: motion to strike
648,researching analysis re: summary judgment
649,briefing motion record re: disqualifying expert
650,briefing analysis re: disqualifying expert
651,drafting memo re: injunction
652,analyzing order re: injunction
653,writing notice of motion re: refusals
654,researching notice of motion re: motion to strike
655,preparing compendium re: summary judgment
656,proofing memo re: motion to strike
657,writing factum re: motion to strike
658,reviewing notice of motion re: disqualifying expert
659,preparing order re: injunction
660,reviewing affidavit re: motion to strike
661,preparing compendium re: injunction
662,revising affidavit re: refusals
663,editing order re: enforcing foreign judgment
664,editing factum re: motion to strike
665,preparing memorandum re: motion to strike
666,drafting affidavit re: disqualifying expert
667,writing book of authority re: injunction
668,drafting memorandum re: summary judgment
669,analyzing compendium re: summary judgment
670,briefing affidavit re: injunction
671,briefing book of authority re: disqualifying expert
672,drafting memorandum re: enforcing foreign judgment
673,editing affidavit re: refusals
674,briefing compendium re: refusals
675,proofing affidavit re: summary judgment
676,reviewing motion record re: enforcing foreign judgment
677,reviewing analysis re: motion to strike
678,researching memorandum re: motion to strike
679,revising order re: motion to strike
680,editing notice of motion re: refusals
681,revising order re: summary judgment
682,briefing book of authority re: summary judgment
683,writing affidavit re: refusals
684,drafting compendium re: refusals
685,writing motion record re: summary judgment
686,drafting memorandum re: summary judgment
687,preparing memorandum re: injunction
688,reviewing analysis re: refusals
689,briefing memorandum re: enforcing foreign judgment
690,reviewing compendium re: enforcing foreign judgment
691,proofing affidavit re: disqualifying expert
692,reviewing notice of motion re: refusals
693,editing book of authority re: motion to strike
694,reviewing memorandum re: summary judgment
695,researching analysis re: summary judgment
696,researching notice of motion re: refusals
697,preparing order re: motion to strike
698,revising order re: enforcing foreign judgment
699,briefing factum re: enforcing foreign judgment
700,researching order re: summary judgment
701,analyzing notice of motion re: enforcing foreign judgment
702,drafting compendium re: enforcing foreign judgment
703,briefing order re: motion to strike
704,editing affidavit re: motion to strike
705,writing memorandum re: injunction
706,proofing order re: enforcing foreign judgment
707,researching affidavit re: injunction
708,preparing factum re: motion to strike
709,proofing order re: refusals
710,preparing memo re: disqualifying expert
711,revising factum re: disqualifying expert
712,preparing memorandum re: summary judgment
713,researching compendium re: motion to strike
714,analyzing analysis re: summary judgment
715,analyzing order re: motion to strike
716,researching order re: summary judgment
717,reviewing book of authority re: disqualifying expert
718,drafting order re: disqualifying expert
719,briefing affidavit re: enforcing foreign judgment
720,editing memo re: injunction
721,reviewing analysis re: motion to strike
722,analyzing book of authority re: refusals
723,analyzing compendium re: motion to strike
724,drafting motion record re: motion to strike
725,drafting motion record re: refusals
726,preparing affidavit re: motion to strike
727,analyzing notice of motion re: motion to strike
728,editing analysis re: disqualifying expert
729,drafting order re: summary judgment
730,researching motion record re: motion to strike
731,drafting order re: injunction
732,revising compendium re: summary judgment
733,drafting affidavit re: disqualifying expert
734,drafting factum re: motion to strike
735,writing compendium re: disqualifying expert
736,briefing memo re: enforcing foreign judgment
737,briefing motion record re: injunction
738,preparing order re: summary judgment
739,analyzing memorandum re: disqualifying expert
740,drafting memorandum re: summary judgment
741,analyzing affidavit re: refusals
742,reviewing book of authority re: refusals
743,editing memo re: enforcing foreign judgment
744,analyzing compendium re: disqualifying expert
745,proofing analysis re: disqualifying expert
746,preparing compendium re: motion to strike
747,preparing motion record re: motion to strike
748,editing motion record re: motion to strike
749,proofing compendium re: injunction
750,analyzing notice of motion re: enforcing foreign judgment
751,proofing factum re: motion to strike
752,preparing affidavit re: refusals
753,revising compendium re: disqualifying expert
754,drafting order re: disqualifying expert
755,revising memorandum re: disqualifying expert
756,revising memo re: enforcing foreign judgment
757,drafting memorandum re: disqualifying expert
758,briefing affidavit re: motion to strike
759,researching memo re: refusals
760,writing affidavit re: refusals
761,reviewing book of authority re: disqualifying expert
762,drafting affidavit re: injunction
763,revising compendium re: enforcing foreign judgment
764,revising book of authority re: injunction
765,writing compendium re: disqualifying expert
766,writing book of authority re: enforcing foreign judgment
767,analyzing motion record re: enforcing foreign judgment
768,analyzing affidavit re: injunction
769,reviewing compendium re: summary judgment
770,proofing analysis re: motion to strike
771,researching memo re: injunction
772,preparing memorandum re: disqualifying expert
773,briefing motion record re: motion to strike
774,drafting notice of motion re: injunction
775,briefing motion record re: disqualifying expert
776,researching notice of motion re: injunction
777,analyzing motion record re: disqualifying expert
778,reviewing memorandum re: motion to strike
779,writing order re: refusals
780,reviewing order re: motion to strike
781,drafting factum re: motion to strike
782,reviewing affidavit re: enforcing foreign judgment
783,editing notice of motion re: disqualifying expert
784,editing memorandum re: summary judgment
785,drafting notice of motion re: disqualifying expert
786,proofing memo re: injunction
787,editing order re: refusals
788,preparing book of authority re: injunction
789,drafting order re: summary judgment
790,preparing affidavit re: disqualifying expert
791,researching analysis re: motion to strike
792,briefing analysis re: enforcing foreign judgment
793,drafting notice of motion re: summary judgment
794,editing affidavit re: motion to strike
795,reviewing motion record re: summary judgment
796,preparing motion record re: injunction
797,proofing analysis re: injunction
798,briefing memo re: refusals
799,briefing memo re: disqualifying expert
800,preparing analysis re: disqualifying expert
801,briefing factum re: enforcing foreign judgment
802,revising memo re: motion to strike
803,drafting affidavit re: enforcing foreign judgment
804,drafting compendium re: enforcing foreign judgment
805,drafting book of authority re: disqualifying expert
806,writing book of authority re: refusals
807,writing memorandum re: summary judgment
808,revising affidavit re: refusals
809,briefing affidavit re: summary judgment
810,drafting notice of motion re: motion to strike
811,reviewing affidavit re: motion to strike
812,editing memo re: injunction
813,proofing analysis re: summary judgment
814,proofing notice of motion re: motion to strike
815,reviewing book of authority re: injunction
816,writing order re: motion to strike
817,drafting order re: enforcing foreign judgment
818,briefing affidavit re: disqualifying expert
819,researching compendium re: enforcing foreign judgment
820,proofing memorandum re: disqualifying expert
821,proofing factum re: injunction
822,briefing book of authority re: summary judgment
823,analyzing order re: enforcing foreign judgment
824,reviewing order re: injunction
825,revising memo re: summary judgment
826,preparing notice of motion re: summary judgment
827,drafting memorandum re: summary judgment
828,briefing notice of motion re: enforcing foreign judgment
829,researching memo re: injunction
830,revising order re: injunction
831,researching factum re: refusals
832,researching notice of motion re: enforcing foreign judgment
833,reviewing order re: enforcing foreign judgment
834,proofing book of authority re: injunction
835,proofing memo re: enforcing foreign judgment
836,reviewing memorandum re: summary judgment
837,researching analysis re: summary judgment
838,reviewing notice of motion re: injunction
839,proofing memo re: disqualifying expert
840,revising motion record re: enforcing foreign judgment
841,reviewing memorandum re: refusals
842,researching compendium re: refusals
843,revising book of authority re: enforcing foreign judgment
844,editing order re: refusals
845,proofing affidavit re: disqualifying expert
846,analyzing compendium re: motion to strike
847,reviewing affidavit re: disqualifying expert
848,reviewing notice of motion re: motion to strike
