,narrative,drafting
214,briefing affidavit re: disqualifying expert,1
215,proofing book of authority re: refusals,0
216,proofing memo re: disqualifying expert,0
217,researching motion record re: summary judgment,0
218,drafting order re: disqualifying expert,1
219,reviewing memorandum re: enforcing foreign judgment,0
220,proofing memorandum re: motion to strike,0
221,analyzing motion record re: injunction,0
222,attending to factum re: disqualifying expert,0
223,proofing affidavit re: injunction,0
224,proofing affidavit re: disqualifying expert,0
225,drafting book of authority re: summary judgment,1
226,analyzing memorandum re: disqualifying expert,0
227,reviewing compendium re: disqualifying expert,0
228,proofing book of authority re: motion to strike,0
229,preparing notice of motion re: disqualifying expert,0
230,revising compendium re: injunction,1
231,editing book of authority re: injunction,1
232,revising compendium re: disqualifying expert,1
233,briefing motion record re: refusals,1
234,writing book of authority re: refusals,1
235,writing affidavit re: disqualifying expert,1
236,editing notice of motion re: refusals,1
237,writing notice of motion re: motion to strike,1
238,proofing memorandum re: summary judgment,0
239,writing compendium re: summary judgment,1
240,revising factum re: motion to strike,1
241,reviewing analysis re: refusals,0
242,editing factum re: motion to strike,1
243,preparing compendium re: refusals,0
244,analyzing factum re: injunction,0
245,analyzing analysis re: summary judgment,0
246,briefing motion record re: disqualifying expert,1
247,finalizing analysis re: enforcing foreign judgment,0
248,drafting notice of motion re: disqualifying expert,1
249,finalizing memorandum re: refusals,0
250,proofing notice of motion re: motion to strike,0
251,briefing factum re: refusals,1
252,attending to motion record re: disqualifying expert,0
253,revising compendium re: refusals,1
254,writing memorandum re: enforcing foreign judgment,1
255,editing analysis re: disqualifying expert,1
256,proofing book of authority re: injunction,0
257,proofing book of authority re: refusals,0
258,attending to motion record re: summary judgment,0
259,editing book of authority re: disqualifying expert,1
260,researching notice of motion re: enforcing foreign judgment,0
261,drafting memorandum re: summary judgment,1
262,writing analysis re: enforcing foreign judgment,1
263,attending to book of authority re: summary judgment,0
264,revising memorandum re: enforcing foreign judgment,1
265,researching memorandum re: summary judgment,0
266,preparing analysis re: disqualifying expert,0
267,finalizing affidavit re: enforcing foreign judgment,0
268,writing book of authority re: disqualifying expert,1
269,revising motion record re: motion to strike,1
270,briefing book of authority re: summary judgment,1
271,briefing memorandum re: injunction,1
272,writing memorandum re: enforcing foreign judgment,1
273,revising order re: summary judgment,1
274,analyzing notice of motion re: injunction,0
275,proofing analysis re: injunction,0
276,reviewing compendium re: enforcing foreign judgment,0
277,analyzing compendium re: motion to strike,0
278,analyzing affidavit re: disqualifying expert,0
279,researching factum re: motion to strike,0
280,reviewing order re: refusals,0
281,attending to notice of motion re: enforcing foreign judgment,0
282,preparing motion record re: injunction,0
283,drafting factum re: refusals,1
284,preparing motion record re: disqualifying expert,0
285,briefing factum re: summary judgment,1
286,analyzing memo re: motion to strike,0
287,preparing factum re: refusals,0
288,proofing factum re: enforcing foreign judgment,0
289,proofing notice of motion re: injunction,0
290,reviewing memorandum re: motion to strike,0
291,proofing book of authority re: enforcing foreign judgment,0
292,revising analysis re: summary judgment,1
293,finalizing motion record re: disqualifying expert,0
294,briefing affidavit re: refusals,1
295,reviewing notice of motion re: summary judgment,0
296,drafting notice of motion re: refusals,1
297,reviewing memo re: injunction,0
298,reviewing memo re: summary judgment,0
299,analyzing memorandum re: injunction,0
300,preparing factum re: disqualifying expert,0
301,writing memorandum re: disqualifying expert,1
302,analyzing memorandum re: summary judgment,0
303,briefing memo re: refusals,1
304,reviewing memo re: disqualifying expert,0
305,reviewing motion record re: enforcing foreign judgment,0
306,researching motion record re: injunction,0
307,finalizing memorandum re: enforcing foreign judgment,0
308,editing memorandum re: disqualifying expert,1
309,researching factum re: enforcing foreign judgment,0
310,researching memorandum re: refusals,0
311,revising notice of motion re: summary judgment,1
312,drafting order re: summary judgment,1
313,researching motion record re: summary judgment,0
314,editing analysis re: motion to strike,1
315,finalizing book of authority re: motion to strike,0
316,attending to book of authority re: disqualifying expert,0
317,drafting memo re: injunction,1
318,reviewing motion record re: enforcing foreign judgment,0
319,briefing analysis re: motion to strike,1
320,researching notice of motion re: disqualifying expert,0
321,editing compendium re: disqualifying expert,1
322,writing factum re: injunction,1
323,preparing affidavit re: refusals,0
324,briefing memorandum re: disqualifying expert,1
325,proofing compendium re: disqualifying expert,0
326,drafting order re: motion to strike,1
327,briefing affidavit re: enforcing foreign judgment,1
328,finalizing affidavit re: motion to strike,0
329,researching memorandum re: refusals,0
330,finalizing analysis re: injunction,0
331,preparing analysis re: motion to strike,0
332,attending to compendium re: refusals,0
333,writing memo re: refusals,1
334,preparing book of authority re: injunction,0
335,proofing order re: disqualifying expert,0
336,attending to motion record re: disqualifying expert,0
337,researching affidavit re: refusals,0
338,drafting memo re: summary judgment,1
339,editing analysis re: motion to strike,1
340,attending to memo re: injunction,0
341,revising factum re: refusals,1
342,revising affidavit re: summary judgment,1
343,attending to book of authority re: summary judgment,0
344,proofing motion record re: disqualifying expert,0
345,proofing order re: enforcing foreign judgment,0
346,analyzing notice of motion re: disqualifying expert,0
347,preparing memorandum re: refusals,0
348,proofing book of authority re: enforcing foreign judgment,0
349,drafting compendium re: enforcing foreign judgment,1
350,writing factum re: enforcing foreign judgment,1
351,analyzing analysis re: enforcing foreign judgment,0
352,writing factum re: enforcing foreign judgment,1
353,drafting analysis re: enforcing foreign judgment,1
354,reviewing analysis re: injunction,0
355,preparing factum re: injunction,0
356,writing compendium re: refusals,1
357,proofing memorandum re: motion to strike,0
358,attending to order re: injunction,0
359,writing motion record re: refusals,1
360,briefing affidavit re: refusals,1
361,attending to motion record re: injunction,0
362,analyzing memo re: refusals,0
363,proofing book of authority re: refusals,0
364,revising memorandum re: refusals,1
365,editing motion record re: summary judgment,1
366,attending to compendium re: summary judgment,0
367,writing book of authority re: summary judgment,1
368,reviewing memo re: refusals,0
369,editing book of authority re: disqualifying expert,1
370,researching factum re: motion to strike,0
371,briefing notice of motion re: enforcing foreign judgment,1
372,analyzing affidavit re: summary judgment,0
373,researching motion record re: disqualifying expert,0
374,attending to factum re: enforcing foreign judgment,0
375,finalizing book of authority re: enforcing foreign judgment,0
376,briefing factum re: summary judgment,1
377,reviewing order re: motion to strike,0
378,finalizing motion record re: injunction,0
379,analyzing book of authority re: disqualifying expert,0
380,preparing analysis re: summary judgment,0
381,editing memo re: injunction,1
382,researching compendium re: refusals,0
383,attending to memorandum re: enforcing foreign judgment,0
384,reviewing memo re: motion to strike,0
385,writing analysis re: injunction,1
386,analyzing analysis re: summary judgment,0
387,reviewing book of authority re: refusals,0
388,attending to notice of motion re: summary judgment,0
389,proofing order re: motion to strike,0
390,researching notice of motion re: injunction,0
391,finalizing motion record re: injunction,0
392,drafting factum re: injunction,1
393,writing compendium re: disqualifying expert,1
394,preparing notice of motion re: disqualifying expert,0
395,finalizing affidavit re: injunction,0
396,proofing book of authority re: injunction,0
397,researching affidavit re: refusals,0
398,analyzing compendium re: disqualifying expert,0
399,preparing analysis re: motion to strike,0
400,drafting book of authority re: motion to strike,1
401,preparing affidavit re: refusals,0
402,briefing affidavit re: enforcing foreign judgment,1
403,proofing affidavit re: refusals,0
404,analyzing memorandum re: summary judgment,0
405,attending to memo re: motion to strike,0
406,briefing book of authority re: motion to strike,1
407,analyzing analysis re: disqualifying expert,0
408,writing memorandum re: injunction,1
409,briefing order re: disqualifying expert,1
410,proofing notice of motion re: disqualifying expert,0
411,finalizing order re: enforcing foreign judgment,0
412,proofing memo re: refusals,0
413,writing memorandum re: enforcing foreign judgment,1
414,attending to notice of motion re: motion to strike,0
415,writing memo re: refusals,1
416,briefing affidavit re: injunction,1
417,attending to book of authority re: disqualifying expert,0
418,proofing book of authority re: disqualifying expert,0
419,drafting motion record re: motion to strike,1
420,finalizing memo re: refusals,0
421,analyzing book of authority re: summary judgment,0
422,revising memorandum re: disqualifying expert,1
423,editing analysis re: summary judgment,1
424,reviewing factum re: enforcing foreign judgment,0
425,reviewing affidavit re: injunction,0
426,researching compendium re: summary judgment,0
427,analyzing motion record re: injunction,0
428,preparing factum re: disqualifying expert,0
429,preparing affidavit re: summary judgment,0
430,drafting notice of motion re: summary judgment,1
431,proofing analysis re: motion to strike,0
432,editing analysis re: disqualifying expert,1
433,analyzing motion record re: summary judgment,0
434,drafting motion record re: summary judgment,1
435,preparing book of authority re: motion to strike,0
436,reviewing order re: disqualifying expert,0
437,finalizing compendium re: refusals,0
438,attending to factum re: summary judgment,0
439,analyzing analysis re: summary judgment,0
440,writing affidavit re: injunction,1
441,editing motion record re: motion to strike,1
442,revising memorandum re: injunction,1
443,drafting book of authority re: injunction,1
444,analyzing memorandum re: motion to strike,0
445,revising analysis re: enforcing foreign judgment,1
446,analyzing motion record re: summary judgment,0
447,revising compendium re: injunction,1
448,proofing book of authority re: motion to strike,0
449,proofing order re: summary judgment,0
450,writing analysis re: disqualifying expert,1
451,researching book of authority re: injunction,0
452,writing affidavit re: enforcing foreign judgment,1
453,attending to analysis re: enforcing foreign judgment,0
454,attending to factum re: disqualifying expert,0
455,editing book of authority re: disqualifying expert,1
456,preparing book of authority re: disqualifying expert,0
457,revising compendium re: refusals,1
458,revising notice of motion re: summary judgment,1
459,editing analysis re: summary judgment,1
460,analyzing order re: motion to strike,0
461,attending to analysis re: disqualifying expert,0
462,reviewing book of authority re: refusals,0
463,researching motion record re: injunction,0
464,analyzing book of authority re: refusals,0
465,editing memorandum re: injunction,1
466,reviewing compendium re: summary judgment,0
467,reviewing book of authority re: motion to strike,0
468,briefing motion record re: summary judgment,1
469,proofing compendium re: enforcing foreign judgment,0
470,attending to affidavit re: injunction,0
471,editing order re: summary judgment,1
472,drafting analysis re: summary judgment,1
473,drafting book of authority re: refusals,1
474,researching analysis re: summary judgment,0
475,briefing compendium re: injunction,1
476,analyzing compendium re: disqualifying expert,0
477,analyzing analysis re: injunction,0
478,finalizing notice of motion re: injunction,0
479,analyzing book of authority re: disqualifying expert,0
480,reviewing affidavit re: refusals,0
481,preparing memo re: summary judgment,0
482,attending to compendium re: disqualifying expert,0
483,analyzing compendium re: motion to strike,0
484,analyzing compendium re: enforcing foreign judgment,0
485,finalizing order re: injunction,0
486,proofing notice of motion re: motion to strike,0
487,writing notice of motion re: injunction,1
488,preparing order re: disqualifying expert,0
489,proofing factum re: enforcing foreign judgment,0
490,preparing memorandum re: injunction,0
491,reviewing memo re: motion to strike,0
492,proofing memorandum re: injunction,0
493,preparing memo re: refusals,0
494,writing book of authority re: refusals,1
495,preparing affidavit re: injunction,0
496,drafting book of authority re: refusals,1
497,analyzing order re: summary judgment,0
498,editing book of authority re: refusals,1
499,reviewing analysis re: summary judgment,0
500,writing factum re: motion to strike,1
501,writing book of authority re: enforcing foreign judgment,1
502,writing order re: motion to strike,1
503,reviewing notice of motion re: injunction,0
504,reviewing motion record re: enforcing foreign judgment,0
505,reviewing memorandum re: disqualifying expert,0
506,analyzing motion record re: refusals,0
507,revising memorandum re: disqualifying expert,1
508,drafting memo re: motion to strike,1
509,writing factum re: injunction,1
510,reviewing notice of motion re: disqualifying expert,0
511,briefing memorandum re: disqualifying expert,1
512,drafting factum re: summary judgment,1
513,analyzing memo re: refusals,0
514,revising memo re: enforcing foreign judgment,1
515,proofing compendium re: summary judgment,0
516,briefing factum re: summary judgment,1
517,drafting analysis re: refusals,1
518,editing motion record re: summary judgment,1
519,researching order re: disqualifying expert,0
520,editing order re: summary judgment,1
521,attending to book of authority re: refusals,0
522,attending to factum re: motion to strike,0
523,preparing factum re: motion to strike,0
524,briefing memorandum re: enforcing foreign judgment,1
525,preparing factum re: summary judgment,0
526,briefing memo re: disqualifying expert,1
527,drafting analysis re: injunction,1
528,finalizing motion record re: injunction,0
529,preparing compendium re: injunction,0
530,editing factum re: enforcing foreign judgment,1
531,attending to memorandum re: injunction,0
532,preparing factum re: enforcing foreign judgment,0
533,revising compendium re: motion to strike,1
534,briefing memorandum re: motion to strike,1
535,analyzing book of authority re: disqualifying expert,0
536,attending to memo re: summary judgment,0
537,editing memo re: disqualifying expert,1
538,finalizing compendium re: injunction,0
539,writing notice of motion re: refusals,1
540,proofing factum re: summary judgment,0
541,reviewing memo re: disqualifying expert,0
542,attending to compendium re: refusals,0
543,analyzing notice of motion re: motion to strike,0
544,editing notice of motion re: refusals,1
545,briefing book of authority re: summary judgment,1
546,finalizing analysis re: motion to strike,0
547,preparing memorandum re: refusals,0
548,editing compendium re: summary judgment,1
549,writing order re: refusals,1
550,editing book of authority re: injunction,1
551,briefing factum re: injunction,1
552,revising motion record re: motion to strike,1
553,attending to memorandum re: refusals,0
554,reviewing factum re: summary judgment,0
555,researching memorandum re: motion to strike,0
556,analyzing affidavit re: injunction,0
557,writing analysis re: motion to strike,1
558,writing memorandum re: disqualifying expert,1
559,revising notice of motion re: enforcing foreign judgment,1
560,finalizing motion record re: disqualifying expert,0
561,finalizing analysis re: motion to strike,0
562,reviewing motion record re: summary judgment,0
563,briefing compendium re: enforcing foreign judgment,1
564,editing compendium re: disqualifying expert,1
565,revising notice of motion re: enforcing foreign judgment,1
566,preparing compendium re: injunction,0
567,revising affidavit re: motion to strike,1
568,briefing factum re: enforcing foreign judgment,1
569,briefing order re: summary judgment,1
570,proofing analysis re: disqualifying expert,0
571,writing memorandum re: refusals,1
572,revising memo re: enforcing foreign judgment,1
573,researching analysis re: enforcing foreign judgment,0
574,drafting memorandum re: refusals,1
575,revising motion record re: summary judgment,1
576,drafting factum re: refusals,1
577,attending to memo re: enforcing foreign judgment,0
578,finalizing order re: summary judgment,0
579,preparing factum re: refusals,0
580,analyzing memorandum re: enforcing foreign judgment,0
581,proofing order re: enforcing foreign judgment,0
582,proofing memorandum re: summary judgment,0
583,editing factum re: enforcing foreign judgment,1
584,briefing compendium re: summary judgment,1
585,proofing factum re: summary judgment,0
586,preparing order re: motion to strike,0
587,researching compendium re: summary judgment,0
588,editing motion record re: motion to strike,1
589,editing motion record re: enforcing foreign judgment,1
590,briefing affidavit re: motion to strike,1
591,reviewing memo re: refusals,0
592,preparing memorandum re: summary judgment,0
593,drafting analysis re: refusals,1
594,writing analysis re: refusals,1
595,finalizing compendium re: refusals,0
596,reviewing compendium re: injunction,0
597,researching factum re: enforcing foreign judgment,0
598,finalizing notice of motion re: refusals,0
599,preparing notice of motion re: disqualifying expert,0
600,briefing notice of motion re: refusals,1
601,editing compendium re: enforcing foreign judgment,1
602,analyzing affidavit re: disqualifying expert,0
603,finalizing compendium re: enforcing foreign judgment,0
604,editing affidavit re: refusals,1
605,attending to compendium re: motion to strike,0
606,finalizing book of authority re: refusals,0
607,reviewing book of authority re: motion to strike,0
608,researching compendium re: refusals,0
609,preparing book of authority re: disqualifying expert,0
610,revising compendium re: disqualifying expert,1
611,briefing memo re: enforcing foreign judgment,1
612,researching compendium re: disqualifying expert,0
613,analyzing factum re: disqualifying expert,0
614,attending to affidavit re: motion to strike,0
615,drafting compendium re: disqualifying expert,1
616,briefing compendium re: enforcing foreign judgment,1
617,attending to compendium re: disqualifying expert,0
618,editing order re: summary judgment,1
619,writing affidavit re: injunction,1
620,briefing analysis re: disqualifying expert,1
621,reviewing book of authority re: disqualifying expert,0
622,attending to order re: injunction,0
623,briefing analysis re: disqualifying expert,1
624,researching memo re: motion to strike,0
625,drafting order re: injunction,1
626,reviewing order re: summary judgment,0
627,attending to memorandum re: injunction,0
628,proofing memo re: summary judgment,0
629,analyzing memo re: enforcing foreign judgment,0
630,attending to notice of motion re: disqualifying expert,0
631,reviewing notice of motion re: enforcing foreign judgment,0
632,writing motion record re: refusals,1
633,attending to motion record re: enforcing foreign judgment,0
634,briefing motion record re: motion to strike,1
635,briefing memo re: summary judgment,1
636,finalizing order re: enforcing foreign judgment,0
637,revising compendium re: summary judgment,1
638,proofing analysis re: motion to strike,0
639,writing analysis re: motion to strike,1
640,analyzing analysis re: motion to strike,0
641,analyzing book of authority re: injunction,0
642,reviewing factum re: motion to strike,0
643,attending to analysis re: injunction,0
644,editing affidavit re: injunction,1
645,reviewing memorandum re: enforcing foreign judgment,0
646,editing affidavit re: disqualifying expert,1
647,proofing motion record re: injunction,0
648,researching compendium re: refusals,0
649,finalizing compendium re: motion to strike,0
650,drafting compendium re: refusals,1
651,analyzing memorandum re: summary judgment,0
652,attending to memorandum re: injunction,0
653,preparing motion record re: disqualifying expert,0
654,drafting compendium re: injunction,1
655,finalizing notice of motion re: motion to strike,0
656,briefing memo re: summary judgment,1
657,attending to memorandum re: motion to strike,0
658,preparing memorandum re: refusals,0
659,analyzing analysis re: summary judgment,0
660,drafting factum re: enforcing foreign judgment,1
661,analyzing motion record re: enforcing foreign judgment,0
662,preparing analysis re: refusals,0
663,editing affidavit re: motion to strike,1
664,finalizing affidavit re: injunction,0
665,proofing affidavit re: enforcing foreign judgment,0
666,researching book of authority re: motion to strike,0
667,researching motion record re: motion to strike,0
668,reviewing motion record re: disqualifying expert,0
669,analyzing memo re: enforcing foreign judgment,0
670,reviewing order re: injunction,0
671,writing order re: motion to strike,1
672,attending to order re: injunction,0
673,reviewing factum re: injunction,0
674,attending to book of authority re: refusals,0
675,revising affidavit re: summary judgment,1
676,analyzing compendium re: disqualifying expert,0
677,proofing book of authority re: disqualifying expert,0
678,finalizing notice of motion re: disqualifying expert,0
679,analyzing order re: disqualifying expert,0
680,finalizing memo re: disqualifying expert,0
681,revising memorandum re: motion to strike,1
682,revising order re: summary judgment,1
683,researching notice of motion re: summary judgment,0
684,drafting affidavit re: disqualifying expert,1
685,briefing memo re: refusals,1
686,briefing order re: enforcing foreign judgment,1
687,preparing memorandum re: injunction,0
688,revising affidavit re: enforcing foreign judgment,1
689,briefing order re: motion to strike,1
690,revising order re: disqualifying expert,1
691,briefing motion record re: disqualifying expert,1
692,analyzing book of authority re: refusals,0
693,attending to factum re: enforcing foreign judgment,0
694,reviewing book of authority re: enforcing foreign judgment,0
695,finalizing order re: motion to strike,0
696,reviewing notice of motion re: disqualifying expert,0
697,briefing compendium re: motion to strike,1
698,researching factum re: enforcing foreign judgment,0
699,analyzing motion record re: summary judgment,0
700,preparing notice of motion re: motion to strike,0
701,attending to compendium re: summary judgment,0
702,drafting compendium re: enforcing foreign judgment,1
703,preparing factum re: injunction,0
704,revising memorandum re: disqualifying expert,1
705,attending to motion record re: refusals,0
706,finalizing notice of motion re: enforcing foreign judgment,0
707,drafting analysis re: disqualifying expert,1
708,reviewing motion record re: disqualifying expert,0
709,briefing book of authority re: summary judgment,1
710,writing compendium re: disqualifying expert,1
711,proofing book of authority re: refusals,0
712,attending to factum re: summary judgment,0
713,briefing notice of motion re: summary judgment,1
714,revising notice of motion re: motion to strike,1
715,briefing motion record re: injunction,1
716,briefing analysis re: injunction,1
717,editing order re: summary judgment,1
718,revising memo re: motion to strike,1
719,drafting analysis re: disqualifying expert,1
720,attending to affidavit re: motion to strike,0
721,preparing memorandum re: injunction,0
722,analyzing factum re: refusals,0
723,briefing motion record re: injunction,1
724,reviewing order re: injunction,0
725,reviewing compendium re: disqualifying expert,0
726,reviewing order re: disqualifying expert,0
727,proofing motion record re: refusals,0
728,analyzing analysis re: summary judgment,0
729,editing order re: disqualifying expert,1
730,preparing motion record re: motion to strike,0
731,analyzing affidavit re: disqualifying expert,0
732,writing book of authority re: injunction,1
733,writing analysis re: refusals,1
734,reviewing motion record re: motion to strike,0
735,analyzing book of authority re: refusals,0
736,finalizing compendium re: refusals,0
737,analyzing memo re: disqualifying expert,0
738,analyzing memorandum re: summary judgment,0
739,revising order re: enforcing foreign judgment,1
740,proofing affidavit re: summary judgment,0
741,briefing notice of motion re: injunction,1
742,revising notice of motion re: refusals,1
743,preparing factum re: enforcing foreign judgment,0
744,preparing analysis re: disqualifying expert,0
745,writing memo re: motion to strike,1
746,finalizing order re: refusals,0
747,researching analysis re: summary judgment,0
748,analyzing motion record re: disqualifying expert,0
749,drafting affidavit re: motion to strike,1
